"a_id","level_id","name"
"1","1","X: cradle loop barrel"
"1","1.1","H: RIFT-related"
"1","1.1.1","T: acid protease"
"1","1.1.1.1","F: Asp"
"1","1.1.1.2","F: Asp,A1_Propeptide"
"1","1.1.1.3","F: RVP"
"1","1.1.1.4","F: Spuma_A9PTase"
"1","1.1.1.5","F: Zn_protease"
"1","1.1.1.6","F: Asp_protease"
"1","1.1.1.7","F: tRNA-synt_1_2"
"1","1.1.1.8","F: gag-asp_proteas"
"1","1.1.1.9","F: TAXi_C"
"1","1.1.1.10","F: TAXi_N"
"1","1.1.1.11","F: PE-PGRS_C"
"1","1.1.1.12","F: A1_Propeptide"
"1","1.1.1.13","F: Peptidase_A2_2"
"1","1.1.1.14","F: DUF1758"
"1","1.1.1.17","F: RVP_2"
"1","1.1.1.18","F: Asp_protease_2"
"1","1.1.1.19","F: Pol_BBD"
"1","1.1.2","T: double psi"
"1","1.1.2.1","F: RNA_pol_Rpb2_6"
"1","1.1.2.2","F: RNA_pol_Rpb1_2"
"1","1.1.2.3","F: Barwin"
"1","1.1.2.4","F: Molydop_binding"
"1","1.1.2.6","F: Asp_decarbox"
"1","1.1.2.7","F: CDC48_N"
"1","1.1.2.8","F: UFD1"
"1","1.1.2.9","F: DPBB_1"
"1","1.1.2.10","F: PolC_DP2"
"1","1.1.2.11","F: RdRP"
"1","1.1.2.12","F: PTAC"
"1","1.1.2.13","F: 3D"
"1","1.1.2.14","F: Cerato-platanin"
"1","1.1.2.15","F: PEX-2N"
"1","1.1.2.16","F: MacB_PCD"
"1","1.1.2.17","F: EXPB1_D1"
"1","1.1.2.18","F: "
"1","1.1.2.19","F: IML1_N"
"1","1.1.3","T: AbrB"
"1","1.1.3.1","F: MraZ"
"1","1.1.3.2","F: MazE_antitoxin"
"1","1.1.3.3","F: PrlF_antitoxin"
"1","1.1.4","T: Bacterial fluorinating enzyme-C"
"1","1.1.4.1","F: SAM_HAT_C"
"1","1.1.5","T: FMN-binding split barrel"
"1","1.1.5.1","F: Trypsin"
"1","1.1.5.2","F: Trypsin,Thrombin_light"
"1","1.1.5.3","F: Peptidase_C4"
"1","1.1.5.4","F: Peptidase_S3"
"1","1.1.5.5","F: Pico_P2A"
"1","1.1.5.7","F: "
"1","1.1.5.8","F: Putative_PNPOx"
"1","1.1.5.9","F: Putative_PNPOx,PNP_phzG_C"
"1","1.1.5.10","F: Flavin_Reduct"
"1","1.1.5.11","F: UbiD"
"1","1.1.5.12","F: Peptidase_S39"
"1","1.1.5.13","F: Peptidase_S6"
"1","1.1.5.14","F: Peptidase_S29"
"1","1.1.5.15","F: F420H2_quin_red"
"1","1.1.5.16","F: MreC"
"1","1.1.5.17","F: DUF447_N"
"1","1.1.5.18","F: FMN_bind_2"
"1","1.1.5.19","F: Peptidase_C30"
"1","1.1.5.20","F: Peptidase_C37"
"1","1.1.5.22","F: Peptidase_S32"
"1","1.1.5.23","F: T6SS_HCP"
"1","1.1.5.24","F: Phage_T4_gp19"
"1","1.1.5.25","F: PilZ"
"1","1.1.5.26","F: PilZN"
"1","1.1.5.29","F: IglC"
"1","1.1.5.30","F: Pyridox_oxase_2"
"1","1.1.5.31","F: Pyridox_ox_2"
"1","1.1.5.32","F: PilZNR"
"1","1.1.5.33","F: Trypsin_2"
"1","1.1.5.34","F: Pyrid_oxidase_2"
"1","1.1.5.35","F: YwpF"
"1","1.1.5.36","F: Pyrid_ox_like"
"1","1.1.5.39","F: TssD"
"1","1.1.5.43","F: MrkH_YcgR_like"
"1","1.1.5.44","F: SecDF_P1_head"
"1","1.1.5.45","F: Putative_PNPOx_2"
"1","1.1.5.46","F: DUF1986"
"1","1.1.5.47","F: Phage_tube_2"
"1","1.1.5.49","F: DUF316"
"1","1.1.5.50","F: DUF2255"
"1","1.1.5.52","F: PNP_phzG_C"
"1","1.1.5.54","F: "
"1","1.1.7","T: Alanine racemase-C"
"1","1.1.7.1","F: Orn_DAP_Arg_deC"
